title,cluster_number
du pont  wins suit against phillips,0
wins government okay for husky  deal,0
presidential airways  pact approved,0
army to renegotiate itt  radio contract,0
potomac electric power co  january net,0
torchmark  sells sinking fund debentures,0
suffield financial  gets fed approval,0
afg industries inc  quarterly dividend,0
year net,0
santa anita realty  quarterly dividend,0
liquid air corp  quarterly dividend,0
(marshall steel ltd) year net,0
marshall steel details gain from unit sale,3
mayfair industries inc  4th qtr net,1
(corrected) - banponce  places notes,0
u.s. treasury says it will participate with others in 500 mln dlr bridge loan to argentina,2
"u.s. regulator closes banks in texas, louisiana",0
olin  names successor for chief executive,0
daewoo motor to boost imports of u.s. goods,0
banks express grave concern on brazil debt moves,0
lng imports from algeria unlikely in 1987,0
u.s. farm credit rescue bill seen before easter,0
report could be final blow for regan,0
"swiss economy in excellent condition, oecd says",0
u.s. wheat bonus to soviet called dormant,0
u.s. treasury part of argentine bridge loan,0
companies set bid for canada helicopter contract,0
alatenn resources inc  4th qtr net,1
american travellers  expands operations,0
versatile to sell unit to vicon,3
videotron buys into exhibit company,0
year net,0
rohr industries  settles strike,0
"texaco canada cuts crude prices 64 canadian cts/bbl, par grade to 22.26 canadian dlrs",0
banks express grave concern on brazil debt move,0
texaco canada  lowers crude postings,0
jury finds for dow  in birth defect case,0
usda said unlikely to broaden corn bonus offer,0
marathon petroleum reduces crude postings,0
agency votes to end local nuclear plant veto,0
year net,0
relief to u.s. corn/oats growers said likely,0
n.z. money supply rises 3.6 pct in december,0
circuit systems  buys board maker,0
falling soybean crush ratios cut output,0
mail boxes etc  3rd qtr jan 31 net,1
munsingwear inc  4th qtr jan 3 loss,1
fed data suggest stable u.s. monetary policy,0
federal industries launches eurobond issue,0
nyse to study regulation of security industry,0
korean air orders mcdonnell douglas  md-11s,0
delta rocket blasts off from cape canaveral,0
japan to try to open market to u.s. car parts,0
france faces pressue to change policies,0
gti corp  4th qtr oper net,1
houston oil  reserves study completed,0
famous restaurants inc  4th qtr loss,1
japan consumer prices fall 0.4 pct in january,0
avery  sets two for one stock split,0
microsoft corp  halts ms-dos imports,0
japan march bond coupon seen unchanged at five pct,0
u.s. launches weather satellite,0
italian coalition meets as government crisis looms,0
"n.z. central bank sees slower money, credit growth",0
average yen cd rates fall in latest week,0
britain's alliance opposition wins by-election,0
economic spotlight - japan eyeing foreign stocks,0
taiwan offshore banking assets rise in january,0
japan expected to cut base rate for state bodies,0
japan house budget talks to reopen next week,0
australia's keating changes economic forecasts,0
thai rice exports rise in week ended february 24,0
tokyo grain exchange to raise margin requirements,0
manila said to offer debt bonds to banks,0
poll majority disapprove of reagan presidency,0
producer split heats up coffee quota talks,0
italian treasury cuts interest on certificates,0
british conservatives ahead of labour in new polls,0
indonesian agriculture growth expected to slow,0
kuwait says no plans for emergency opec talks,0
indonesia seen at crossroads over economic change,0
indian budget comes in for wide criticism,0
china to borrow 390 mln dlrs,2
manila said to offer debt bonds to banks,0
"chinese wheat crop threatened by pests, disease",0
saudi riyal deposit rates remain firm,0
iran claims new victories near basra,0
bangladesh moves against loan defaulters,0
iraq says it repels iranian attack,0
qatar unveils budget for fiscal 1987/88,0
"gulf bond, stock markets lag behind, gib says",0
saudi arabia reiterates commitment to opec pact,0
"coffee quota talks continue, no accord seen likely",0
new zealand cancels weekly t-bill tender,0
share trading in cheung kong group suspended,0
february u.s. purchasing manager index falls,0
canada-egypt wheat negotiations to continue,0
indonesian wheat imports expected to fall in 1987,0
shultz likely to visit moscow soon,0
"zambia to retain currency auction, says kaunda",0
"polish banker pleased with world bank, imf talks",0
record n.z. futures volumes traded in february,0
indonesian sugar output seen short of target,0
nippon kokan steel affiliates considering merger,0
qantas airways says will buy four boeing 747-400's for one billion australian,0
egypt to host nine-nation african talks this month,0
ec ministers consider big agriculture price cuts,0
qantas to buy four 747-400's for one billion dlrs,0
iel sets 100 mln dlr note/commercial paper issue,2
american express studies options for shearson,0
indonesia unlikely to import philippines copra,0
sri lankan bank offers 250 mln rupees t-bills,2
strong earthquake hits new zealand,0
philippines heads confidently into debt talks,0
japan february interim trade surplus jumps,0
nippon light metal continues aluminium output cut,0
saudi february crude output put at 3.5 mln bpd,2
indonesian palm oil output expected to rise,0
"indonesian tea, cocoa exports seen up, coffee down",0
singapore exchange seeking nasdaq/london link,0
indonesia's exports drop in calendar 1986,0
german eurobond market expects breathing space,0
japan's ntt forecasts profits fall in 1987/88,0
sino-u.s. venture in china to make rinsing agents,0
china signs world bank loan for tianjin port,0
thai airways international to almost double fleet,0
japan february external reserves record 51.73 billion dlrs (january 51.46 billion),0
japan february reserves record 51.73 billion dlrs,0
simex trading volume hits record in february,0
"shultz visit to moscow possible, say soviets",0
japan distributor may import mazda u.s.-made cars,0
iraq defers payments on 500 mln dlr euroloan,2
taiwan central bank issues certificates of deposit,0
ico talks on coffee quotas to resume at noon,0
caecl issues 12 billion yen eurobond,0
"chinese banks to issue more bonds, official says",0
indian sugar output rises in first four months,0
international leisure negoiating on boeing lease,0
japan plans more flexible corporate bond issues,0
new dutch advances total 4.8 billion guilders,0
"japan buys some 95,000 tonnes soybeans from china",0
shv says it making tender offer for up to 33 mln shares in ic gas,2
cheung kong (holdings) ltd  year 1986,0
trading delayed on singapore's new bill market,0
merrill lynch issues 100 mln ecu eurobond,2
wallenbergs fight bid for swedish match stake,0
indonesian soybean imports forecast to rise,0
shv says it making tender offer for ic gas,0
nobel/financiere robur issue french franc bonds,0
japanese banks cool on nigerian debt talks,0
u.k. money market deficit forecast at 800 mln stg,2
japan sales tax may force nakasone out of office,0
black miners support s. african mines takeover,0
thailand announces third tapioca quota for ec,0
atpc members find ways to curb tin exports,0
south korea to hold current account surplus down,0
dutch oilseeds/fats imports rose in 1986,0
china's heilongjiang province boosts gold output,0
sale tilney buys stake in u.s. insurance broker,0
san miguel board appointment may mean changes,0
estimated drop in japan corporate profits trimmed,0
lebanese president agrees new peace moves,0
indian budget deficit seen fueling inflation,0
"india buys 46,000 tonnes of vegetable oils",0
beecham unit launches arthritis drug,3
japan to promote interest rate liberalisation,0
taiwan power firm plans more foreign debt cuts,0
creditors allow teck hock to fulfil contracts,0
tesco issues 100 mln stg convertible bond,2
sncf issuing three billion franc domestic bond,0
dutch animal feed usage down in first half season,0
reuters to carry jiji financial services,0
fiat unit issues 100 mln dlr bond and warrants,2
u.k. confirms january sterling m3 rise,0
exco buys u.s. government securities broker,0
pakistan to tender for rbd palm oil,0
"hoechst to research discs with u.s., japan firms",0
coloroll agrees to buy u.s. wallcoverings company,0
economic spotlight - austerity measures in hungary,0
u.k. money market shortage forecast revised down,0
alaska housing has 150 mln dlr syndicated loan,2
sweden to go ahead with s. african trade sanctions,0
digital audio tape players go on sale in japan,0
economic spotlight - italian boom,0
u.k. money market receives 37 mln stg assistance,2
"japan, u.s. set to begin high-level trade talks",0
india to hold white sugar buying tender,0
qantas to buy four 747-400's for one billion dlrs,0
carlton communications optimistic for 1987,0
ec opens anti-dumping enquiry into soviet mercury,0
manila said to offer debt bonds to banks,0
argentine debt negotiator confident of accord,0
gulf arab deputy oil ministers to meet in bahrain,0
manila officials split over debt strategy,0
oecd says japan resolved to stimulate demand,0
saudi arabia reiterates commitment to opec accord,0
kuwait minister says no emergency opec talks set,0
taiwan plans new tariff cuts,0
rhone-poulenc to launch investment certificates,0
"hutchison sees higher payout, satisfactory profits",0
balladur expects improved february inflation data,0
february u.s. purchasing manager index falls,0
"funaro says brazil needs more, faster finance",0
american motors  breaks off talks on plant,0
scientific micro systems  acuires supermac,0
american express  viewing shearson options,0
"spanish farmers protest, then call truce",0
swiss have net gain in 1985 government finances,0
two s/l failures raise u.s. 1987 toll to 10,0
ropak  has 34 pct of buckhorn,0
apple computer  upgrades macintosh line,0
philadelphia port closed by tanker crash,0
penril  seeks to sell two units,0
ll/e royalty  revenues may be escrowed,0
faces damage claim,0
purolator  in buyout with hutton,0
ncr  signs license agreement,0
pakistan cotton output reaches 7.7 mln bales,2
imperial chemical  forms new unit,3
financial santa barbara  to make purchase,0
alcan to close west german aluminium smelter,0
bbc ag brown boveri und cie  1986 year,0
marriott  to sell hotel,0
dh technology  chairman sells shares,0
"brown boveri omits dividend, plans warrant bond",0
u.s. corporate finance - asset-back market grows,0
"viacom said it has new national amusements, mcv holdings bids",0
ilc technology  officer removed,0
apple computer  has new macintosh models,0
reagan and baker begin task of rebuilding,0
laroche starts bid for neco  shares,0
nine mths loss,0
senior engineering makes 12.5 mln dlr us purchase,2
cheung kong chairman sees strong results in 1987,0
occidental  unit to redeem debentures,3
whittaker corp 1st qtr oper shr 17 cts vs 25 cts,1
viacom  receives two revised offers,0
dow  to offer 130 mln dlrs in swiss notes,2
french estimate 86/87 wheat deliveries unchanged,0
waste management corp votes two for one stock split and boosts qtly dividend to 18 cts,0
writers guild of america strikes two networks,0
pittston agrees to acquire wtc international in exchange of stock,0
tuesday morning inc  4th qtr net,1
diagnostic/retrieval systems inc makes 53 mln dlr bid for rospatch corp,2
miller tabak has 91.8 pct of penn traffic,0
coffee quota talks continue but no agreement yet,0
federal industries sets commercial paper issue,0
"waste management  votes split, ups payout",0
porex technologies  sets initial dividend,0
davis water  declares stock dividend,0
medco containment  sets initial payout,0
pittston  agrees to acquire wtc,0
sdc sydney cost review may eliminate products,0
six mths dec 31 loss,0
u.k. money market offered borrowing facilties,0
electronic mail  financing attempt fails,0
netherlands grants 47 mln dlrs to bangladesh,2
quebec's caisse des jardins issues yen eurobond,0
dow chemical launches 200 mln swiss franc bond,2
swiss sight deposits rise 3.10 billion francs,0
consolidated tvx says it will issue shares to buy stakes in three brazil mining firms,0
brazil criticises advisory committee structure,0
whittaker corp  1st qtr jan 31 net,1
quebec's caisse des jardins issues yen eurobond,0
stop and shop cos inc  4th qtr jan 31 net,1
jim walter corp  regular dividend,0
diagnostic  makes a bid for rospatch,0
record n.z. futures volumes traded in february,0
air force exercises option for aar  order,0
dow chemical launches 200 mln swiss franc bond,2
tanzania says no need for new economic measures,0
taiwan to seek higher textile exports to u.s.,0
u.s. jan construction spending rose 1.0 pct after revised 0.9 pct dec drop,0
u.s. non-farm productivity fell revised 2.2 pct in 4th qtr instead of 1.7 pct,1
u.s. non-farm productivity fell 2.2 pct in qtr,1
french 13-week t-bill average rate falls to 7.69 pct from 7.82 pct,0
u.s. construction spending rose 1.0 pct in jan,0
whittaker  to have gains from sales,0
the japan fund  gets buyout offer,0
stansbury mining  gets funding for mine,0
calendar 1986,0
calendar 1986,0
corning to offer 0.5165 share for each hazleton share under earlier agreement,0
bank of new york  to have gain on unit sale,3
"corning , hazleton  set excahnge ratio",0
health experts urge eradication of rinderpest,0
turkish retail prices rise 2.7 pct in february,0
bank of england announces creation of further one billion stg of nine pct 2002 exchequer stock,0
xerox corp  adds capacity to system,0
bally  completes purchase of golden nugget,0
consolidated tvx to buy brazil gold mine stakes,0
warwick insurance managers inc  4th qtr,1
canada industrial prices up 0.2 pct in month,0
oliver's stores  files chapter 11,0
howe owners federal  holders ok more stock,0
commerzbank unit issues sterling eurobond,3
nuclear data  gets extensions on loans,0
gelco corp 2nd qtr shr 67 cts vs 23 cts,1
strober organization inc  4th qtr net,1
judge rules in favor of dow chem  unit,3
u.k. says has no role in brazil moratorium talks,0
shell canada cuts crude oil prices by up to 1.27 canadian dlrs/bbl effective march one,0
bank of england announces one billion stg tap,0
brenco inc  declares qtly dividend,0
black south african miners seek wage rise,0
prime computer  unveils pc software,0
massachusetts investors growth stock fund payout,0
federal industries paper issue just in canada,0
4th qtr net,1
american nursery  buys florida nursery,0
jutland telephone sets 75 mln swiss franc bond,2
regency cruises inc  elects new chairman,0
mfs managed sectors trust dividend increased,0
unocal  plans lube centers at truckstops,0
", pfizer  unit in joint venture",3
"multi-step to sell ladder unit, cancel shares",3
esselte business  unit buys antonson unit,3
fed expected to add temporary reserves,0
reuter dealing service introduced in china,0
cambridge medical  in deal on aids test,0
four seasons buying marriott  hotel,0
quaker oats  files shelf registration,0
"stone  splits stock, raises payout",0
temple inland/int'l paper up on raised opinion,0
presidential air  to start new service,0
s-k-i ltd  2nd qtr jan 25 net,1
kapok corp  year sept 30 loss,0
coupon reduced on best denki warrant bond,0
cargill u.k. strike talks postponed,0
lotus  introduces new software,0
"amax  in gold, silver find",0
study group urges increased u.s. oil reserves,0
k-tron international inc  4th qtr net,1
ford  increases 2nd qtr output plans -report,1
fnma  arranges mortgage securities swap,0
mci  gets penney  contract,0
presidential realty corp  annual net,0
"ford increases 2nd qtr output plans, report says",1
redstone details sweetened viacom  offer,0
montedison concludes talks with antibioticos,0
utilicorp  completes acquisition,0
armco  changes european marketing unit,3
"faa fines delta  140,400 dlrs on safety",0
traders detail french cereal export requests,0
study group urges increased u.s. oil reserves,0
ncr corp  unit signs distribution pact,3
carbide  looks to acquisitions for growth,0
corrected - bankamerica negotiating sale of units,0
cuts dividend,0
columbia gas  forms erie pipeline subidiary,0
payout,0
sets payout,0
r.j.r. nabisco unit forms overseeing committee,3
petro-canada cut crude prices by 1.43 canadian dlrs/bbl effective march one,0
payout,0
payout,0
payout,0
gm  unit to offer pre-approved credit,3
canada ruling on u.s. corn injury due this week,0
first mississippi corp  sets payout,0
rotterdam port union and employers to meet,0
"fed sets 1.5 billion dlr customer repurchase, fed says",0
airgas  declines to comment on stock moves,0
jim walter corp  sets payout,0
fed adds reserves via customer repurchases,0
sony to expand u.k. television output,0
japan's ntt forecasts profits fall in 1987/88,0
ec commission given plan to save steel industry,0
london stock exchange to close trading floor,0
eagle telephonics  sells telephones,0
duro-test corp  2nd qtr jan 31 net,1
sets payout,0
gelco corp  2nd qtr jan 31 net,1
internchange financial services  payout up,0
kapok corp  in technical default,0
newport corp  2nd qtr jan 31 net,1
kapok corp  1st qtr dec 31 loss,1
preferred healthcare ltd  4th qtr net,1
tranzonic cos  sets quarterly,0
nueutrogena  to buy back stock,0
cronus industries inc  4th qtr loss,1
mercury entertainment corp  year nov 30,0
cme plans rule changes tightening s/p trading,0
benguet corp  calendar 1986,0
pogo  consolidates two divisions,0
unocal  unit cuts crude oil posted prices,3
panhandle's  trunkline reduces gas rates,0
investor group has talks with pesch on ami,0
i.m.s. international inc  sets quarterly,0
banner  completes tender for rexnord,0
mutual of omaha interest shares  qtly div,0
mobil  unit to produce food packaging,3
corrected - bankamerica negotiating units sale,0
osr  to make acquisition,0
mercury entertainment  sees better results,0
cronus industries inc  sells unit,3
unisys corp  sets quarterly,0
"jacobson  votes split, increases payout",0
aw computer  in supply agreement,0
harley-davidson inc  4th qtr net,1
completes celanese  acquisition,0
americus trust  extends deadline,0
morse shoe inc  4th qtr net,1
benetton in financial services joint venture,0
"ico quota talks continue, outcome hard to gauge",0
sec staff advises fraud charges against wppss,0
pacific western fuses management with cp air,0
amgen  to form partnership,0
benetton in financial services joint venture,0
"aibd, cedel, euroclear join in trade match system",0
zapata  won't pay interest on debentures,0
harnischfeger industries inc  1st qtr net,1
irish oil concern has 8.5 pct of cynergy,0
alcan aluminium ltd sets three for two stock split,0
albertson's inc  4th qtr jan 29 net,1
u.s. intec inc  4th qtr net,1
franklin resources  forms three funds,0
cincinnati bell inc  raises quarterly,0
cincinnati bell  sets stock split,0
brt realty trust  raises quarterly payout,0
universal health realty  in initial payout,0
qed exploration inc  2nd qtr jan 31 net,1
preferred health care ltd  year dec 31 net,0
aoi coal co  4th qtr net,1
"aibd, cedel, euroclear join in trade match system",0
western digital  adds e-mail package,0
midway  to expand service,0
foothill  arranges debt placement,0
kevex corp  2nd qtr jan 31 net,1
western union  names new president,0
north atlantic industries inc  year net,0
churchill to market western union  services,0
combustion engineering  sets china pact,0
alcan aluminium ltd  sets stock split,0
buffets inc  4th qtr net,1
standard oil sets 154 mln swiss franc note with 3-1/4 pct coupon and currency warrants,2
standard motors products inc  4th qtr net,1
commercial credit  to have gain on sale,0
air wis services inc  4th qtr net,1
opec president says oil market being manipulated,0
arbor drugs inc  2nd qtr jan 31 net,1
epitope  sets three for one stock split,0
amc says steps being taken to build new jeep at alternate site after uaw talks fail,0
citizens financial corp  4th qtr net,1
proposed offerings recently filed with the sec,0
international hydron corp  4th qtr net,1
snet  completes pratt/whitney  order,0
cognitive systems inc  4th qtr nov 30 loss,1
polymeric resources corp  2nd qtr dec 31,1
"cont'l illinois recharacterizes 425 mln dlrs in bad loans from 1984, says doesn't affect net",2
"fluor corp downgraded by moody's, affects 390 mln dlrs of debt",2
intrerface flooring  files for offering,0
health-mor inc  4th qtr net,1
scotty's  sales up five pct in february,0
standard oil  to issue swiss franc note,0
tfc teleservices corp  year nov 30 loss,0
(corrected) -  year net,0
albertson's  to increase new store openings,0
"pall corp  second quarter sales, orders up",0
navistar  debt upgraded by s/p,0
john wiley and sons inc  3rd qtr net,1
arbor drugs inc  2nd qtr jan 31 net,1
technology development corp  4th qtr net,1
spanish farmers battle police in n.e. spain,0
tandem  has home shopping deal,0
flanigan's enterprises inc  1st qtr dec 27,1
triangle industries inc 4th qtr oper shr loss three cts vs profit 27 cts,1
murgold resources has partial gold assays,0
chrysler to sell cars in europe before year end,0
u.s. delegation plans to leave ico talks tuesday,0
ford  air-bag program flagging - report,0
murgold resources  has partial assays,0
paccar  and unit debt downgraded by s/p,3
dean witter agrees to sec censure for failing to fully report cash transactions,0
s/p may downgrade mack trucks  debt,0
zimbabwe's maize mountain poses economic problem,0
technology/chip industry seeks custom designs,0
sears to restructure distribution,0
continental ill  to recharacterize loss,0
rex-noreco inc  1st half jan 31 net,1
morrison knudsen  gets naval station job,0
packaging systems corp  4th qtr net,1
molecular biosystems  offers new products,0
g.d. ritzy's inc  4th qtr loss,1
western digital  adds electronic mail,0
triangle industries inc  4th qtr loss,1
fluor corp  debt downgraded by moody's,0
esi industries inc  4th qtr net,1
electronic control  initial offer starts,0
"sears to close chicago distribution center, lay off up to 1,800 employees",0
thunander corp  year net,0
tylan  renews credit line,0
nacco industries  unit to be sold,3
raising u.s. prices,0
valley federal  names new officers,0
sears  dean witter unit agrees to sec censure,3
bankeast corp  completes acquisition,0
u.s. says tin disposals will not affect accord,0
banner  to accept rexnord  shares,0
american nursery  makes acquisition,0
dot rejects smoking ban on domestic flights,0
amc  says steps taken after uaw talks fail,0
archive corp  signs distributor agreement,0
inspeech  makes acquisitions,0
sears to take 20 mln dlr after-tax charge in first quarter for restructuring,2
status game  to introduce video bingo,0
versatile unit has letter of intent to build 320 mln dlr icebreaker for federal government - official,2
bayer  makes u.s. acquisition,0
eagle entertainment  to manage affiliate,0
gulf arab oil meeting ends,0
"apple , ast  offer ms-dos products",0
noland  february sales off two pct,0
government bond broker sees wider data access,0
ec ministers struggle to agree on dairy cuts,0
sears  to restructure distribution,0
"b.f. goodrich to phase out some businesses, cut staff by 790",0
delta air  begins atlanta-tokyo service,0
versatile to build polar ice breaker,0
chrysler  unit sells notes at 7-5/8 pct,3
inb talks on being acquired,0
congress video group inc  3rd qtr net,1
first financial management  revises pact,0
to proceed with benequity  bid,0
integrated generics  will not comment,0
cuba tells traders sugar exports may be delayed,0
goodrich  to phase out some businesses,0
thunander corp  year net,0
final trust for thrift institutions payout set,0
(rpt) u.s. says tin disposals will not affect accord,0
rospatch to respond to diagnostic bid,0
franklin insured tax-free sets payout,0
franklin minnesota insured sets payout,0
franklin michigan insured sets payout,0
franklin massachusetts insured cuts payout,0
"u.s. export inspections, in thous bushels  soybeans 20,349 wheat 14,070 corn 21,989",0
franklin california tax-free sets payout,0
diagnostic products  sees earnings growth,0
currencies could influence bullion again-montagu,0
dunkin' donuts inc  1st qtr jan 24 net,1
ccr video corp  1st qtr nov 30 net,1
franklin puerto rico tax-free sets payout,0
franklin ohio insured tax-free sets payout,0
franklin high-yield tax-free sets payout,0
convergent technologies  to buy oakleaf,0
nymex will expand off-hour trading april one,0
ccr video  now meets nasdaq requirements,0
rospatch  to respond to diagnostic,0
green tree acceptance inc  sets dividend,0
argentine oil production down in january 1987,0
rospatch corp rejects offer from diagnostic retrieval systems inc,0
hughes' u.s. rig count slips to 801 this week,0
gulf of mexico rig count falls this week,0
north american group  buys georgia firm,0
canada plans 4-part 1.2 billion dlr bond issue tuesday - official,0
talking point/viacom international,0
up-right inc  4th qtr oper net,1
canada launches 1.2 billion dlr bond issue,0
u.s. electronic sales flat in 1986,0
"talks show new canadian confidence, group says",0
u.s. acts to protect kaiser steel retirees,0
to supply market update,0
ual  unit attacked on minority hiring,3
albertson's inc  raises qtly dividend,0
chemical new york  to close dubai office,0
wavehill international to make acquisition,0
security pacific  completes merger,0
pall corp  2nd qtr sales rise 17 pct,1
j.p. industries  forms two operating groups,0
u.s. intec inc  4th qtr net,1
"lodgistix  to buyback 100,000 shares",0
ici  seeks gains in specialty businesses,0
int'l hydron corp  4th qtr oper net,1
albertson's  adopts stockholder rights plan,0
rospatch  rejects diagnostic  bid,0
syntech interenational inc  4th qtr net,1
int'l minerals  buys animal products unit,3
jwt  not approached by group seeking shares,0
uaw wants to revive american motors  talks,0
banc one  has michigan affiliate,0
coeur d'alene mines corp  4th qtr loss,1
funaro rejects uk suggestion of imf brazil plan,0
foote mineral  sells cambridge plant,0
u.s. wheat groups call for global action,0
gelco  sees flat 1987 pretax operating net,0
u.s. troops get cost-of-living increase,0
utilicorp  acquires dominion  subsidiary,0
daisy systems  introduces workstations,0
western tele-communications  joins group,0
pesch sees shareholder support in ami  bid,0
three convicted in home state failure,0
video shopping mall adds florida station,0
national early warning seeks omega ballistics,0
united merchants  to buy its own stock,0
"westinghouse , matsushita  set venture",0
senior delegates pessimistic on ico talks,0
edo corp  unit will build aircraft parts,3
glamis gold ltd  six mths dec 31 net,0
u.s. approves buyout of coastal bancorp,0
little prince productions ltd1st qtr loss,1
brazil criticises advisory committee structure,0
vanguard technologies  wins contract,0
amca  to sell some dominion bridge assets,0
condor computer introduces database product,0
scott's hospitality acquires capital food,0
funaro rejects suggestion of imf brazil plan,0
saatchi and saatchi  combines units,0
union national  signs definitive pact,0
analysts see no other bidder for purolator,0
"former broker, investor sentenced for trading",0
annual mailing to delinquent farmers -- usda,0
antitrust lawyer nominated claims court judge,0
pan am  february load factor up,0
whitehall corp  4th qtr net,1
service corp international  3rd qtr net,1
warner communications in contract with ross,0
peoples bancorporation  quarterly dividend,0
caremark  changes fiscal year-end,0
cpl reit  4th qtr net,1
star technologies to trade on nasdaq,0
republic automotive parts  4th qtr loss,1
realmerica co  year nov 30 net,0
cybertek  forming new division,0
s-k-i ltd  2nd qtr jan 25 net,1
holiday corp  to redeem two bond issues,0
anchor glass  cleared for listed on nyse,0
